,GO_term_ID,GO_term_def,P,P_FDR_adj,NofGenes,Genes
51,GO:0006915,apoptotic process,2.914E-04,2.802E-02,41,ACVR1B|ADAM15|APP|BMP4|BMPR2|CXCR3|EPHA2|EPHA7|ERBB3|FAP|FAS|FASLG|FGF21|FGF4|FGFR3|GZMB|IFNG|IL1A|IL1B|IL2|INHBA|ITGAV|LAMP1|LTA|NOTCH1|PSEN1|SEMA3A|TGFBR2|TLR4|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF11B|TNFRSF1B|TNFRSF21|TNFRSF6B|TNFRSF9|TNFSF10|TRAF2|YARS
52,GO:0042981,regulation of apoptotic process,3.196E-04,3.014E-02,72,ADAM17|APOE|BMP10|BMP15|BMP4|BMPR1A|CD3G|CD74|COL2A1|CTGF|CXCL10|CXCR2|DKK1|EGFR|EPHA7|ERBB3|FAP|FAS|FASLG|FGA|FGF21|FGF4|FGFR1|GDF2|GZMB|HHIP|HSP90B1|ICAM1|IFNG|IGF2R|IHH|IL1A|IL1B|IL2|IL4|IL6ST|IL7|IL7R|INHBA|ITGA4|ITGA5|ITGA6|ITGAV|ITGB1|LRP1|LRP8|LTA|MMP9|NOTCH1|PDGFRB|PF4|PLAUR|PSEN1|PTMA|SEMA4D|SEMA5A|SERPINE1|TDGF1|TGFB3|THBS1|TIMP1|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF1B|TNFRSF6B|TNFSF10|TNFSF9|TRAF2|UBA52|VEGFA
53,GO:0044260,cellular macromolecule metabolic process,3.570E-04,3.252E-02,86,ACVR1B|ACVR2A|ADAM17|AMELX|APOE|APP|B2M|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CALM1|CCR6|CHRM3|COL2A1|COL3A1|CTGF|CXCR1|CXCR2|DDR1|DUSP18|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|EREG|FAP|FBN1|FGA|FGF4|FGF6|FGFR1|FGFR3|FGFR4|GDF2|HAS2|HSP90B1|IGF2|IHH|IL1B|IL2|IL2RG|IL4|IL6ST|IL8|INHBA|ITGAV|ITGB1|JMJD6|LAMB1|LIF|LRP1|MET|MFGE8|MFI2|MUSK|MYLK|MYLK2|NOTCH1|PDGFA|PDGFRA|PDGFRB|PLAT|PSEN1|PTMA|RPSA|SORL1|TDGF1|TFRC|TGFBR2|THBS1|TIMP1|TLR4|TNC|TNF|TNFSF11|TRAF2|UBA52|YARS
54,GO:0012501,programmed cell death,3.580E-04,3.252E-02,42,ACVR1B|ADAM15|APP|BMP4|BMPR2|CXCR3|EPHA2|EPHA7|ERBB3|FAP|FAS|FASLG|FGF21|FGF4|FGFR3|GZMB|IFNG|IL1A|IL1B|IL2|INHBA|ITGAV|LAMP1|LTA|NOTCH1|PSEN1|SEMA3A|ST14|TGFBR2|TLR4|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF11B|TNFRSF1B|TNFRSF21|TNFRSF6B|TNFRSF9|TNFSF10|TRAF2|YARS
55,GO:0031032,actomyosin structure organization,3.915E-04,3.429E-02,6,BMP10|F11R|ITGB1|ITGB5|PDGFRA|PDGFRB
56,GO:0051044,positive regulation of membrane protein ectodomain proteolysis,3.915E-04,3.429E-02,6,ADAM9|APOE|IFNG|IL1B|TNF|TNFRSF1B
57,GO:0010921,regulation of phosphatase activity,3.995E-04,3.433E-02,9,CALM1|CALM2|CALM3|HSP90B1|IFNG|ITGA2|PDGFRB|SEMA4D|TNF
58,GO:0006357,regulation of transcription by RNA polymerase II,4.148E-04,3.433E-02,48,ACVR1B|ACVR2A|AGRN|APOE|APP|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CD3D|CXCL10|DKK1|EGFR|ERBB2|FASLG|FBN1|FGF4|FGFR1|GDF2|IFNG|IGF2|IHH|IL1A|IL1B|IL2|IL4|INHBA|ITGA3|ITGA6|JAG1|JMJD6|LIF|LRP5|MET|NOTCH1|PF4|PSEN1|SEMA4D|SERPINE1|SORL1|TDGF1|TGFB3|TLR4|TNF|TNFSF11|UBA52|VEGFA
59,GO:0048514,blood vessel morphogenesis,4.256E-04,3.433E-02,46,ADAM15|APOE|BMP4|BMPR1A|BMPR2|COL3A1|COL4A1|CTGF|CXCR3|EFNB2|EPHA1|EPHA2|EPHB1|EPHB2|EPHB3|EPHB4|EREG|FAP|FGF6|FGFR1|GDF2|HAS2|IHH|IL8|ITGA5|ITGAV|ITGB1|JAG1|JMJD6|LAMA5|LDLR|LRP1|LRP5|MFGE8|MYLK|NOTCH1|NRP2|PDGFA|PDGFRA|PDGFRB|SEMA5A|SERPINE1|TDGF1|TGFBR2|THBS1|VEGFA
60,GO:0002682,regulation of immune system process,4.305E-04,3.433E-02,87,ACVR1B|ACVR2A|ADAM17|APOE|APP|B2M|BMP4|C4BPA|CALM1|CCL20|CCL24|CCR2|CCR6|CD1B|CD247|CD3D|CD3G|CD55|CD74|COL1A1|COL1A2|COL2A1|COL3A1|CR1|CXCL10|CXCR2|CXCR3|EFNB1|EFNB2|EMR2|ERBB2|EREG|FBN1|FCN2|FGA|HLA-E|HLA-F|HSP90B1|ICAM1|IFNG|IFNGR1|IGF2|IHH|IL1B|IL2|IL4|IL4R|IL6ST|IL7|IL7R|IL8|INHBA|ITGA2|ITGA4|ITGB1|JAG1|KCNN4|KIR2DL1|KIR2DL3|KLRD1|LAMP1|LDLR|LIF|LRP8|LTA|NOTCH1|PF4|PSEN1|PVRL2|SDC4|SELL|SERPINE1|TFRC|TGFB3|TGFBR2|THBS1|TLR4|TNF|TNFRSF14|TNFRSF1B|TNFRSF21|TNFSF11|TNFSF13|TNFSF9|TRAF2|UBA52|VEGFA
61,GO:0071363,cellular response to growth factor stimulus,4.338E-04,3.433E-02,43,ACVR1B|ACVR2A|ADAM9|APP|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CGN|COL1A1|COL1A2|COL2A1|COL3A1|CTGF|EGFR|ERBB2|F11R|FBN1|FGF21|FGF4|FGF6|FGFR1|FGFR3|FGFR4|GDF2|HAS2|IL8|ITGB1|ITGB5|LRP8|NOTCH1|NRP2|PDGFRA|PDGFRB|SPINT1|TDGF1|TGFB3|TGFBR2|THBS1|TNFRSF1B|UBA52|VEGFA
62,GO:0008219,cell death,4.339E-04,3.433E-02,42,ACVR1B|ADAM15|APP|BMP4|BMPR2|CXCR3|EPHA2|EPHA7|ERBB3|FAP|FAS|FASLG|FGF21|FGF4|FGFR3|GZMB|IFNG|IL1A|IL1B|IL2|INHBA|ITGAV|LAMP1|LTA|NOTCH1|PSEN1|SEMA3A|ST14|TGFBR2|TLR4|TNF|TNFRSF10A|TNFRSF10B|TNFRSF10D|TNFRSF11B|TNFRSF1B|TNFRSF21|TNFRSF6B|TNFRSF9|TNFSF10|TRAF2|YARS
63,GO:0030162,regulation of proteolysis,4.490E-04,3.496E-02,33,ADAM9|APOE|APP|COL6A3|COL7A1|CR1|CTGF|EPHA7|FAS|FASLG|FGFR4|IFNG|IL1B|IL1R2|MFI2|MMP9|PLAT|PLAUR|PSEN1|SERPINE1|SERPINE2|SORL1|SPINT1|THBS1|TIMP1|TIMP2|TNF|TNFRSF10A|TNFRSF10B|TNFRSF1B|TNFSF10|TRAF2|VEGFA
64,GO:0006469,negative regulation of protein kinase activity,5.137E-04,3.876E-02,10,APOE|BMP4|DUSP18|EPHA1|EPHB2|IFNG|IL1B|LRP5|PSEN1|SORL1
65,GO:0070925,organelle assembly,5.137E-04,3.876E-02,10,BMP10|FARP2|ITGB1|LAMA5|NOTCH1|PDGFRA|PDGFRB|PSEN1|PVRL2|RPSA
66,GO:0035239,tube morphogenesis,5.349E-04,3.975E-02,57,ADAM15|APOE|BMP4|BMPR1A|BMPR2|COL3A1|COL4A1|CTGF|CXCR2|CXCR3|DDR1|EFNB2|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|EREG|FAP|FGF6|FGFR1|GDF2|HAS2|HHIP|IHH|IL8|ITGA5|ITGAV|ITGB1|JAG1|JMJD6|LAMA5|LDLR|LRP1|LRP5|MET|MFGE8|MYLK|NOTCH1|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|SDC4|SEMA5A|SERPINE1|SPINT1|ST14|TDGF1|TGFBR2|THBS1|TNC|VEGFA
67,GO:0009968,negative regulation of signal transduction,5.724E-04,4.190E-02,55,ADAM17|APOE|BMP4|CALM1|CALM2|CALM3|CD74|COL2A1|DKK1|DUSP18|EGFR|EPHA2|EPHB2|ERBB2|ERBB3|EREG|FAS|FASLG|FBN1|FGA|HHIP|ICAM1|IL1A|IL1B|IL1R2|IL7|IL8|ITGA3|ITGA6|ITGAV|ITGB1|JAG1|LIF|LRP1|LRPAP1|MET|MMP9|NOTCH1|PF4|PLAUR|PSEN1|SERPINE1|SERPINE2|SORL1|TGFB3|TGFBR2|THBS1|TIMP2|TLR4|TNF|TNFRSF10A|TNFRSF10B|TNFSF10|TRAF2|UBA52
68,GO:0009894,regulation of catabolic process,5.948E-04,4.197E-02,26,ADAM9|APOE|APP|C4BPA|CDH1|EGFR|FAP|FGF21|IFNG|IL1B|IL4|ITGB1|LDLR|LRP1|MET|PSEN1|SCARB1|SCT|SERPINE2|SORL1|TIMP1|TIMP2|TNF|TNFRSF1B|TNFSF13|UBA52
69,GO:0060349,bone morphogenesis,5.963E-04,4.197E-02,14,BMP4|BMPR2|COL1A1|COL2A1|COL6A2|COL6A3|COL7A1|FGF4|FGFR3|HAS2|IHH|LRP5|TGFB3|TGFBR2
70,GO:1904377,positive regulation of protein localization to cell periphery,6.111E-04,4.197E-02,8,EGFR|EPHA2|EPHB2|IFNG|ITGA3|ITGB1|LRP1|TNF
71,GO:1903078,positive regulation of protein localization to plasma membrane,6.111E-04,4.197E-02,8,EGFR|EPHA2|EPHB2|IFNG|ITGA3|ITGB1|LRP1|TNF
72,GO:0007492,endoderm development,6.161E-04,4.197E-02,13,BMP4|BMPR1A|COL7A1|DKK1|INHBA|ITGA4|ITGA5|ITGAV|ITGB5|LAMB1|LAMB3|MMP9|NOTCH1
73,GO:0061448,connective tissue development,6.605E-04,4.438E-02,22,AMELX|BMP4|BMPR1A|BMPR2|COL1A1|COL2A1|COL5A1|COL6A2|COL6A3|COL7A1|CTGF|FGF4|FGF6|FGFR1|FGFR3|GDF2|IHH|LRP5|NOTCH1|PDGFRB|TGFBR2|TIMP1
74,GO:0048731,system development,7.475E-04,4.757E-02,148,ACVR1B|ACVR2A|ADAM15|ADAM17|ADAM9|AGRN|AMELX|AMELY|APOE|APP|B2M|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CALM1|CALM2|CALM3|CCR2|CCR6|CD3D|CD3G|CD74|CDH1|CHRM3|COL1A1|COL1A2|COL2A1|COL3A1|COL4A1|COL5A1|COL5A2|COL6A2|COL6A3|COL7A1|CTGF|CXCL1|CXCL10|CXCR2|CXCR3|DDR1|DKK1|EFNB1|EFNB2|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|EREG|FAP|FARP2|FASLG|FBN1|FGF4|FGF6|FGFR1|FGFR3|FGFR4|GDF2|HAS2|HHIP|HLA-E|ICAM1|IFNG|IFNGR1|IGF2|IGF2R|IHH|IL1B|IL2|IL4|IL6ST|IL7|IL7R|IL8|INHBA|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAV|ITGB1|ITGB4|JAG1|JMJD6|KCNQ1|L1CAM|LAMA5|LAMB1|LAMB3|LAMC2|LDLR|LIF|LRP1|LRP5|LRP8|LTA|MET|MFAP2|MFGE8|MMP9|MYLK|MYLK2|NOTCH1|NPY|NRP2|PDGFA|PDGFRA|PDGFRB|PSEN1|PVRL1|SCN10A|SCT|SDC4|SEMA3A|SEMA3C|SEMA4D|SEMA5A|SERPINE1|SERPINE2|SLC45A3|SORL1|SPINT1|ST14|TDGF1|TFRC|TGFB3|TGFBR2|THBS1|TIMP1|TIMP2|TLR4|TNC|TNF|TNFRSF11B|TNFRSF1B|TNFRSF21|TNFSF10|TNFSF11|VEGFA
75,GO:0060541,respiratory system development,7.554E-04,4.757E-02,19,BMP4|BMPR1A|BMPR2|CTGF|EGFR|FGFR1|HHIP|ITGA3|JMJD6|LAMA5|LIF|NOTCH1|PDGFA|PDGFRA|PDGFRB|TGFB3|TGFBR2|TNC|VEGFA
76,GO:0010634,positive regulation of epithelial cell migration,7.554E-04,4.757E-02,19,ADAM17|ADAM9|BMP4|BMPR2|CCR6|FGFR1|HAS2|IFNG|ITGA2|ITGA3|MET|MMP9|NRP2|SCARB1|SEMA5A|TDGF1|TGFBR2|THBS1|VEGFA
77,GO:0022407,regulation of cell-cell adhesion,7.585E-04,4.757E-02,38,BMP4|CCR2|CD55|CD74|CDH1|EFNB1|EFNB2|EPHA7|EPHB3|ERBB2|FGA|HAS2|HLA-E|ICAM1|IFNG|IGF2|IHH|IL1B|IL2|IL4|IL4R|IL6ST|IL7|IL7R|ITGA4|ITGA6|JAG1|MLLT4|SDC4|SERPINE2|TFRC|TGFBR2|TNF|TNFRSF14|TNFRSF21|TNFSF11|TNFSF9|VEGFA
78,GO:0051726,regulation of cell cycle,7.683E-04,4.757E-02,26,ADAM17|APP|BMP4|CALM1|CALM2|CALM3|CTGF|EGFR|EREG|FAP|FGFR1|HMMR|IFNG|IGF2|IL1A|IL1B|IL8|INHBA|ITGB1|LIF|LRP5|NOTCH1|PDGFRB|THBS1|TIMP2|TNF
79,GO:0042176,regulation of protein catabolic process,7.684E-04,4.757E-02,16,ADAM9|APOE|C4BPA|CDH1|EGFR|IFNG|IL1B|LDLR|LRP1|PSEN1|SERPINE2|SORL1|TIMP1|TIMP2|TNF|TNFRSF1B
80,GO:0007167,enzyme linked receptor protein signaling pathway,7.758E-04,4.757E-02,59,ACVR1B|ACVR2A|ADAM17|ADAM9|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CGN|COL1A1|COL1A2|COL3A1|COL4A1|CTGF|DDR1|EFNB1|EFNB2|EGFR|EPHA1|EPHA2|EPHA7|EPHB1|EPHB2|EPHB3|EPHB4|ERBB2|ERBB3|EREG|F11R|FGF21|FGF4|FGF6|FGFR1|FGFR3|FGFR4|GDF2|IGF2|IGF2R|IL6ST|INHBA|ITGAV|ITGB1|ITGB5|LIF|MET|MMP9|MUSK|NRP2|PDGFA|PDGFRA|PDGFRB|PLAT|PSEN1|TDGF1|TGFB3|TGFBR2|UBA52|VEGFA
81,GO:0022610,biological adhesion,8.232E-04,4.985E-02,72,ADAM15|ADAM17|ADAM2|ADAM9|AMELX|APP|BMP10|CCR2|CD151|CD63|CD97|CDH1|COL3A1|COL5A1|COL6A2|COL6A3|COL7A1|CTGF|CXCR3|DDR1|EFNB1|EFNB2|EGFR|EMR2|EPHA1|EPHA2|EPHB1|EPHB3|EPHB4|F11R|FAP|FARP2|FBN1|FGA|ICAM1|IHH|IL1B|IL2|ITGA2|ITGA3|ITGA4|ITGA5|ITGA6|ITGAE|ITGAV|ITGB1|ITGB4|ITGB5|L1CAM|LAMA5|LAMB1|LAMB3|LAMC2|LGALS3BP|MFGE8|MLLT4|NRP2|PDGFRA|PSEN1|PVRL1|PVRL2|RPSA|SCARB1|SELL|SEMA4D|SEMA5A|TGFBR2|THBS1|THBS2|TNC|TNF|VWF
82,GO:0046777,protein autophosphorylation,8.459E-04,4.988E-02,15,ACVR1B|DDR1|EGFR|EPHA1|EPHB1|EPHB3|EPHB4|ERBB2|FGFR1|FGFR3|FGFR4|MUSK|MYLK2|PDGFRA|PDGFRB
83,GO:0010468,regulation of gene expression,8.583E-04,4.988E-02,80,ACVR1B|ACVR2A|ADAM2|AGRN|APOE|APP|BMP10|BMP15|BMP4|BMPR1A|BMPR2|CD3D|CD74|CDH1|COL1A1|COL2A1|CTGF|CXCL10|DKK1|EGFR|EPHB2|ERBB2|ERBB3|EREG|FASLG|FBN1|FGF4|FGFR1|FGFR4|GDF2|ICAM1|IFNG|IFNGR1|IGF2|IHH|IL1A|IL1B|IL1R2|IL2|IL4|IL7|IL7R|INHBA|ITGA2|ITGA3|ITGA6|JAG1|JMJD6|KCNQ1|LDLR|LIF|LRP5|LRP8|MET|MFI2|MLLT4|MUSK|MYLK2|NOTCH1|PDGFRA|PF4|PSEN1|RPSA|SEMA4D|SERPINE1|SERPINE2|SORL1|TDGF1|TGFB3|TGFBR2|THBS1|TLR4|TNC|TNF|TNFRSF1B|TNFSF11|TNFSF13|TRAF2|UBA52|VEGFA
84,GO:0010564,regulation of cell cycle process,8.645E-04,4.988E-02,18,ADAM17|APP|BMP4|CALM1|CALM2|CALM3|CTGF|EGFR|EREG|FAP|FGFR1|HMMR|IGF2|IL1A|IL1B|LIF|LRP5|PDGFRB
85,GO:0045862,positive regulation of proteolysis,8.645E-04,4.988E-02,18,ADAM9|APOE|APP|CR1|CTGF|FAS|FASLG|FGFR4|IFNG|IL1B|MFI2|PSEN1|TNF|TNFRSF10A|TNFRSF10B|TNFRSF1B|TNFSF10|TRAF2
